화물>자가용,특수>관용,date,화물>계,총계>자가용,승합>자가용,특수>계,승용>영업용,화물>관용,특수>영업용,시군구,총계>관용,총계>영업용,총계>계,시도명,승합>관용,화물>영업용,승합>계,승용>관용,승용>자가용,승용>계,특수>자가용,승합>영업용
297131,429,202608,325577,1516316,33153,11440,12843,3158,5340,계,8108,48734,1573158,경북,1632,25288,40048,2889,1180361,1196093,5671,5263
11948,15,202608,12635,111809,2457,543,964,148,168,거제시,373,2125,114307,경남,78,539,2989,132,97044,98140,360,454
9325,16,202608,9683,35613,801,290,171,104,178,거창군,296,790,36699,경남,69,254,1057,107,25391,25669,96,187
7395,11,202608,7703,28083,650,231,173,93,67,고성군,232,546,28861,경남,65,215,806,63,19885,20121,153,91
41016,43,202608,46134,301810,5537,1518,2186,247,637,김해시,717,8320,310847,경남,152,4871,6315,275,254419,256880,838,626
6310,9,202608,6599,22409,514,118,139,137,29,남해군,298,423,23130,경남,54,152,671,98,15505,15742,80,103
13576,17,202608,16313,59628,1241,847,479,111,594,밀양시,333,3906,63867,경남,92,2626,1540,113,44575,45167,236,207
10474,18,202608,11207,62201,1347,348,620,140,115,사천시,345,1509,64055,경남,79,593,1607,108,50165,50893,215,181
7326,11,202608,7891,22156,447,316,54,100,151,산청군,265,724,23145,경남,60,465,561,94,14229,14377,154,54
22141,29,202608,29436,186361,3738,2175,1019,159,1469,양산시,461,10370,197192,경남,86,7136,4570,187,159805,161011,677,746
4563,13,202608,5215,15691,341,207,43,93,127,의령군,228,772,16691,경남,53,559,437,69,10720,10832,67,43
26350,34,202608,29054,175069,2902,1019,2605,286,439,진주시,707,6550,182326,경남,164,2418,4154,223,145271,148099,546,1088
10244,10,202608,10684,36797,906,248,192,97,76,창녕군,248,727,37772,경남,73,343,1095,68,25485,25745,162,116
10158,15,202608,11307,102112,1665,350,1267,137,153,창원시 마산합포구,368,2900,105380,경남,64,1012,2197,152,90107,91526,182,468
10552,4,202608,12158,108770,1650,472,5759,53,224,창원시 마산회원구,159,7939,116868,경남,28,1553,2081,74,96324,102157,244,403
10364,16,202608,11486,151159,1859,472,19807,140,200,창원시 성산구,624,21801,173584,경남,215,982,2886,253,138680,158740,256,812
17115,20,202608,18766,149537,2033,714,60895,128,352,창원시 의창구,573,63127,213237,경남,162,1523,2552,263,130047,191205,342,357
7608,12,202608,8865,97002,1650,647,733,88,320,창원시 진해구,235,2373,99610,경남,37,1169,1838,98,87429,88260,315,151
8587,15,202608,9088,53750,1447,282,654,125,79,통영시,329,1362,55441,경남,89,376,1789,100,43528,44282,188,253
7832,17,202608,8121,24903,490,207,83,117,87,하동군,265,388,25556,경남,73,172,609,58,16478,16619,103,46
10147,7,202608,10796,45142,923,428,28352,84,232,함안군,234,29353,74729,경남,55,565,1182,88,33883,62323,189,204
6996,18,202608,7245,24317,450,138,22653,110,30,함양군,246,23010,47573,경남,50,139,688,68,16781,39502,90,188
8258,15,202608,8799,25048,532,176,149,145,66,합천군,306,681,26035,경남,57,396,659,89,16163,16401,95,70
268285,365,202608,299185,1839367,33580,11746,148997,2842,5793,계,7842,189696,2036905,경남,1855,28058,42283,2780,1531914,1683691,5588,6848
26747,49,202608,27783,107347,2619,449,923,345,144,서귀포시,772,1898,110017,제주,132,691,2891,246,77725,78894,256,140
60776,41,202608,65198,326114,6489,1800,283927,703,547,제주시,1715,294608,622437,제주,349,3719,13253,622,257637,542186,1212,6415
87523,90,202608,92981,433461,9108,2249,284850,1048,691,계,2487,296506,732454,제주,481,4410,16144,868,335362,621080,1468,6555
17659,47,202608,19296,115619,2261,868,2107,263,384,강릉시,628,4351,120598,강원,135,1374,2882,183,95262,97552,437,486
3979,6,202608,4192,16910,400,106,113,106,30,고성군,212,286,17408,강원,41,107,477,59,12461,12633,70,36
6869,11,202608,7514,48063,1084,389,708,125,185,동해시,346,1573,49982,강원,81,520,1325,129,39917,40754,193,160
6679,14,202608,7053,34236,703,223,467,184,46,삼척시,417,822,35475,강원,96,190,918,123,26691,27281,163,119
5173,10,202608,5617,40568,973,251,786,119,86,속초시,334,1331,42233,강원,87,325,1194,118,34267,35171,155,134
3364,11,202608,3538,12830,268,83,64,117,19,양구군,237,173,13240,강원,53,57,354,56,9145,9265,53,33
4051,17,202608,4254,17270,367,128,195,134,22,양양군,235,313,17818,강원,36,69,430,48,12763,13006,89,27
6200,15,202608,6464,22014,561,204,148,126,59,영월군,355,402,22771,강원,80,138,698,134,15123,15405,130,57
26311,32,202608,28883,197379,3878,1179,2535,232,361,원주시,658,5716,203753,강원,158,2340,4516,236,166404,169175,786,480
5009,15,202608,5252,20455,406,141,82,126,30,인제군,251,286,20992,강원,52,117,515,58,14944,15084,96,57
6226,29,202608,6530,22722,491,197,216,145,35,정선군,391,488,23601,강원,100,159,669,117,15872,16205,133,78
6999,19,202608,7280,25140,580,142,187,142,22,철원군,289,400,25829,강원,68,139,700,60,17460,17707,101,52
18208,33,202608,21288,145312,2826,1000,2295,266,410,춘천시,906,6135,152353,강원,259,2814,3701,348,123721,126364,557,616
3288,18,202608,3551,20018,544,188,342,122,50,태백시,269,654,20941,강원,54,141,719,75,16066,16483,120,121
8633,26,202608,8890,27380,671,181,209,123,48,평창군,336,466,28182,강원,76,134,822,111,17969,18289,107,75
11674,27,202608,12312,41636,1049,277,295,184,66,홍천군,465,1081,43182,강원,113,454,1428,141,28729,29165,184,266
3308,10,202608,3456,13986,256,94,51,101,24,화천군,232,156,14374,강원,61,47,351,60,10362,10473,60,34
8703,13,202608,9102,29587,768,213,521,127,50,횡성군,293,938,30818,강원,64,272,927,89,19966,20576,150,95
152333,353,202608,164472,851125,18086,5864,11321,2742,1927,계,6854,25571,883550,강원,1614,9397,22626,2145,677122,690588,3584,2926
10716,15,202608,11179,32848,1203,208,160,156,63,고창군,359,623,33830,전북,65,307,1361,123,20799,21082,130,93
19181,22,202608,22715,141706,2659,1294,1887,213,713,군산시,569,6427,148702,전북,122,3321,3287,212,119307,121406,559,506
14018,8,202608,15235,52266,1398,458,493,150,156,김제시,348,1865,54479,전북,60,1067,1607,130,36556,37179,294,149
12373,25,202608,13018,43731,1051,299,373,187,75,남원시,455,1065,45251,전북,108,458,1318,135,30108,30616,199,159
4501,10,202608,4850,14679,437,100,57,104,38,무주군,226,390,15295,전북,39,245,526,73,9689,9819,52,50
8754,15,202608,9162,29031,730,193,168,142,53,부안군,321,601,29953,전북,63,266,907,101,19422,19691,125,114
5392,10,202608,5558,17406,366,82,85,101,22,순창군,242,192,17840,전북,58,65,444,73,11598,11756,50,20
12478,29,202608,15116,63407,1458,529,223,219,227,완주군,493,3281,67181,전북,110,2419,1980,135,49198,49556,273,412
24024,18,202608,27385,145943,3476,954,1796,213,427,익산시,571,5852,152366,전북,133,3148,4090,207,117934,119937,509,481
4952,11,202608,5348,15559,380,100,54,121,23,임실군,275,417,16251,전북,60,275,505,83,10161,10298,66,65
4522,7,202608,4733,13497,307,87,32,115,23,장수군,239,171,13907,전북,41,96,368,76,8611,8719,57,20
18662,13,202608,21447,170866,3033,1026,2981,151,406,전주시 덕진구,450,6936,178252,전북,96,2634,4044,190,148564,151735,607,915
15401,21,202608,17211,154185,2689,669,2008,209,254,전주시 완산구,797,4411,159393,전북,219,1601,3456,348,135701,138057,394,548
14900,11,202608,15982,59290,1449,417,628,161,125,정읍시,390,1871,61551,전북,105,921,1751,113,42660,43401,281,197
5081,18,202608,5294,15954,387,102,69,113,16,진안군,297,279,16530,전북,51,100,532,115,10418,10602,68,94
174955,233,202608,194233,970368,21023,6518,11014,2355,2621,계,6032,34381,1010781,전북,1330,16923,26176,2114,770726,783854,3664,3823
