화물>자가용,특수>관용,date,화물>계,총계>자가용,승합>자가용,특수>계,승용>영업용,화물>관용,특수>영업용,시군구,총계>관용,총계>영업용,총계>계,시도명,승합>관용,화물>영업용,승합>계,승용>관용,승용>자가용,승용>계,특수>자가용,승합>영업용
6685,14,202608,6984,20173,477,134,5760,93,26,함평군,231,6113,26517,전남광주,47,206,645,77,12917,18754,94,121
15863,11,202608,16254,43437,1571,191,113604,144,42,해남군,345,114639,158421,전남광주,77,247,2394,113,25865,139582,138,746
8001,10,202608,8677,35475,830,309,512,108,144,화순군,266,2019,37760,전남광주,51,568,1676,97,26489,27098,155,795
310401,365,202608,350364,1746334,36619,14171,262543,3650,7127,계,9739,315694,2071767,전남광주,2244,36313,48574,3480,1392635,1658658,6679,9711
16317,10,202608,19239,93953,1502,1140,1802,131,665,강서구,353,5677,99983,부산,84,2791,2005,128,75669,77599,465,419
9131,12,202608,12194,75704,1801,812,2355,102,599,금정구,279,6864,82847,부산,61,2961,2811,104,64571,67030,201,949
10711,13,202608,12259,89667,1847,557,861,126,274,기장군,267,3094,93028,부산,47,1422,2431,81,76839,77781,270,537
8796,4,202608,13399,106865,1899,1832,34914,57,1485,남구,213,41543,148621,부산,53,4546,2550,99,95827,130840,343,598
3426,5,202608,5747,48520,736,1132,1032,62,1038,동구,200,4515,53235,부산,46,2259,968,87,44269,45388,89,186
9498,2,202608,11190,99199,1715,507,1810,65,277,동래구,171,4041,103411,부산,27,1627,2069,77,87758,89645,228,327
12486,10,202608,15204,131149,2399,795,2198,167,576,부산진구,381,5769,137299,부산,65,2551,2908,139,116055,118392,209,444
11306,11,202608,12971,99520,1860,471,1472,105,255,북구,314,3605,103439,부산,49,1560,2227,149,86149,87770,205,318
13689,8,202608,16094,81344,1855,571,2386,98,316,사상구,261,5210,86815,부산,52,2307,2108,103,65553,68042,247,201
12340,9,202608,14448,105776,2366,509,3428,104,264,사하구,278,5965,112019,부산,50,2004,2685,115,90834,94377,236,269
3518,0,202608,4434,30697,774,151,360,41,81,서구,139,1334,32170,부산,30,875,822,68,26335,26763,70,18
5195,12,202608,6441,65660,1280,485,56061,81,329,수영구,220,58154,124034,부산,40,1165,1919,87,59041,115189,144,599
8723,31,202608,11255,128778,1579,946,33972,181,708,연제구,1057,37855,167690,부산,484,2351,2887,361,118269,152602,207,824
3880,8,202608,4339,30838,849,117,1321,83,55,영도구,233,2067,33138,부산,50,376,1214,92,26055,27468,54,315
1734,14,202608,7138,37756,442,1830,123,73,1714,중구,311,7174,45241,부산,61,5331,509,163,35478,35764,102,6
12165,9,202608,14504,158760,2530,821,1941,124,467,해운대구,330,4862,163952,부산,57,2215,2826,140,143720,145801,345,239
142915,158,202608,180856,1384186,25434,12676,146036,1600,9103,계,5007,197729,1586922,부산,1256,36341,32939,1993,1212422,1360451,3415,6249
5312,3,202608,5520,16056,355,90,66,55,19,군위군,141,259,16456,대구,36,153,412,47,10321,10434,68,21
6118,3,202608,6728,58428,1159,204,936,80,56,남구,452,1632,60512,대구,231,530,1500,138,51006,52080,145,110
28268,16,202608,33871,270762,4166,1291,28024,179,611,달서구,524,34788,306074,대구,115,5424,5010,214,237664,265902,664,729
19237,72,202608,22357,139451,2538,805,1500,313,285,달성군,636,5088,145175,대구,117,2807,3151,134,117228,118862,448,496
18847,11,202608,22937,165377,2916,1049,4159,157,521,동구,376,9333,175086,대구,89,3933,3725,119,143097,147375,517,720
27206,29,202608,31925,200725,3261,1086,2467,226,445,북구,546,8053,209324,대구,120,4493,4029,171,169646,172284,612,648
10623,9,202608,12270,73617,1481,305,3139,122,113,서구,266,4963,78846,대구,40,1525,1707,95,61330,64564,183,186
14900,14,202608,16512,212734,2731,712,2948,211,171,수성구,609,5130,218473,대구,180,1401,3521,204,194576,197728,527,610
4171,17,202608,4815,54773,950,153,1103,151,30,중구,329,1941,57043,대구,68,493,1333,93,49546,50742,106,315
134682,174,202608,156935,1191923,19557,5695,44342,1494,2251,계,3879,71187,1266989,대구,996,20759,24388,1215,1034414,1079971,3270,3835
10869,11,202608,11816,40411,1011,403,1862,163,92,강화군,379,3002,43792,인천,53,784,1328,152,28231,30245,300,264
11740,9,202608,13682,121315,1913,488,1073,46,195,검단구,123,3715,125153,인천,16,1896,2480,52,107378,108503,284,551
15722,17,202608,18726,113341,2748,695,81218,113,335,계양구,300,85746,199387,인천,59,2891,4109,111,94528,175857,343,1302
26884,29,202608,30696,255014,4313,1131,22194,165,488,남동구,1000,27069,283083,인천,454,3647,5507,352,223203,245749,614,740
668,0,202608,1119,1746,137,121,298,4,105,동구,13,902,2661,인천,9,447,198,0,925,1223,16,52
16628,20,202608,22106,164435,3562,1335,11453,136,847,미추홀구,440,17704,182579,인천,91,5342,3715,193,143777,155423,468,62
18756,9,202608,21993,210652,3755,762,20905,104,294,부평구,336,25221,236209,인천,79,3133,4723,144,187682,208731,459,889
2605,5,202608,3050,6573,376,58,820,15,25,서구,51,1392,8016,인천,18,430,511,13,3564,4397,28,117
19338,18,202608,23835,195372,3290,1137,4547,138,569,서해구,392,10308,206072,인천,68,4359,4191,168,172194,176909,550,833
12339,14,202608,16199,233070,2770,1003,1518,139,544,연수구,413,6272,239755,인천,93,3721,3352,167,217516,219201,445,489
4208,10,202608,5007,66736,1059,221,432,121,47,영종구,397,1447,68580,인천,103,678,1452,163,61305,61900,164,290
16425,3,202608,16606,34188,607,165,70027,126,14,옹진군,254,71234,105676,인천,50,55,1795,75,17008,87110,148,1138
5907,10,202608,13719,40515,1132,2026,4858,93,1744,제물포구,356,14985,55856,인천,111,7719,1907,142,33204,38204,272,664
974,3,202608,1642,3661,154,105,319,17,72,중구,79,1134,4874,인천,17,651,263,42,2503,2864,30,92
163063,158,202608,200196,1487029,26827,9650,221524,1380,5371,계,4533,270131,1761693,인천,1221,35753,35531,1774,1293018,1516316,4121,7483
13230,10,202608,17241,87126,1769,822,1947,109,443,대덕구,246,6841,94213,대전,41,3902,2359,86,71758,73791,369,549
12463,14,202608,14256,93920,2044,556,3146,100,221,동구,264,5519,99703,대전,57,1693,2560,93,79092,82331,321,459
18104,34,202608,20744,212325,3616,1057,28183,208,467,서구,897,31554,244776,대전,316,2432,4404,339,190049,218571,556,472
15340,28,202608,18218,201563,2776,1018,2229,442,311,유성구,691,5331,207585,대전,94,2436,3225,127,182768,185124,679,355
11615,8,202608,13861,98711,2129,586,2302,76,261,중구,238,5148,104097,대전,50,2170,2594,104,84650,87056,317,415
70752,94,202608,84320,693645,12334,4039,37807,935,1703,계,2336,54393,750374,대전,558,12633,15142,749,608317,646873,2242,2250
15813,20,202608,19387,160265,2449,1014,2751,247,616,남구,814,7261,168340,울산,200,3327,3216,347,141625,144723,378,567
4618,7,202608,5026,64589,1061,226,750,78,62,동구,200,1289,66078,울산,42,330,1250,73,58753,59576,157,147
11242,10,202608,13006,124774,1833,687,1559,91,367,북구,236,3930,128940,울산,37,1673,2201,98,111389,113046,310,331
21160,15,202608,25590,136156,2401,1561,1221,167,1044,울주군,452,7208,143816,울산,93,4263,3174,177,112093,113491,502,680
9718,7,202608,10765,102863,1671,560,1157,89,273,중구,363,2685,105911,울산,105,958,2073,162,91194,92513,280,297
62551,59,202608,73774,588647,9415,4048,7438,672,2362,계,2065,22373,613085,울산,477,10551,11914,857,515054,523349,1627,2022
14655,243,202608,16943,198200,2776,1067,3628,272,168,세종특별자치시,1108,6456,205764,세종,231,2016,3651,362,180113,184103,656,644
14655,243,202608,16943,198200,2776,1067,3628,272,168,계,1108,6456,205764,세종,231,2016,3651,362,180113,184103,656,644
