no,ranking,book_name,author_name,publisher,pub_year,isbn13,addition_symbol,vol,class_no,class_nm,loan_count,cover_url,detail_url
74,74,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,9788936448134,74810,4,813.7,문학 > 한국문학 > 소설,32556,https://image.aladin.co.kr/product/28612/9/cover/8936448137_1.jpg,https://data4library.kr/bookV?seq=6378029
75,75,나의 돈키호테 :김호연 장편소설 ,지은이: 김호연,나무옆의자,2024,9791161571768,03810,,813.7,문학 > 한국문학 > 소설,32363,https://image.aladin.co.kr/product/33798/94/cover/k852930477_1.jpg,https://data4library.kr/bookV?seq=6862019
76,76,천 개의 파랑 :천선란 장편소설 ,지은이: 천선란,허블,2020,9791190090261,03810,,813.7,문학 > 한국문학 > 소설,32117,https://image.aladin.co.kr/product/24895/69/cover/k882632470_2.jpg,https://data4library.kr/bookV?seq=5738747
77,77,희랍어 시간 :한강 장편소설 ,지은이: 한강,문학동네,2011,9788954616515,03810,,813.62,문학 > 한국문학 > 소설,31971,https://bookthumb-phinf.pstatic.net/cover/067/707/06770742.jpg?type=m1&udate=20170801,https://data4library.kr/bookV?seq=1207905
78,78,흔한남매 이무기 :이해하면 무서운 이야기,원작: 흔한남매 ;그림: 도니패밀리,미래엔,2023,9791168418516,77810,2,810,문학 > 한국문학 > 한국문학,31936,https://image.aladin.co.kr/product/34240/43/cover200/k252931432_2.jpg,https://data4library.kr/bookV?seq=6900046
79,79,바깥은 여름 :김애란 소설 ,지은이: 김애란,문학동네,2017,9788954646079,03810,,813.7,문학 > 한국문학 > 소설,31880,http://image.aladin.co.kr/product/15533/81/cover/k852533629_1.jpg,https://data4library.kr/bookV?seq=3451595
80,80,비스킷 ,글: 김선미,위즈덤하우스,2023,9791168127630,43810,,813.7,문학 > 한국문학 > 소설,31839,https://image.aladin.co.kr/product/32443/92/cover/k002935195_1.jpg,https://data4library.kr/bookV?seq=6759494
81,81,죽이고 싶은 아이 :이꽃님 장편소설 ,지은이: 이꽃님,우리학교,2021,9791190337755,43810,,813.7,문학 > 한국문학 > 소설,31755,https://image.aladin.co.kr/product/27211/83/cover/k422732197_1.jpg,https://data4library.kr/bookV?seq=5986948
82,82,(흔한남매) 별난 세계 여행,흔한남매 원작 ;정주연 그림,미래엔,2023,9791168415355,74810,1,980.2,역사 > 지리 > 지리,31728,https://image.aladin.co.kr/product/31704/70/cover/k952833687_1.jpg,https://data4library.kr/bookV?seq=6695722
83,83,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,9791168417984,77490,12,472,자연과학 > 생물과학 > 생물학,31484,https://image.aladin.co.kr/product/33707/53/cover/k032939342_1.jpg,https://data4library.kr/bookV?seq=6855482
84,84,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,2021,9791173320101,77400,13,400,자연과학 > 자연과학 > 자연과학,31463,https://image.aladin.co.kr/product/35418/49/cover200/k522035522_2.jpg,https://data4library.kr/bookV?seq=6990638
85,85,아몬드 :손원평 장편소설 ,지은이: 손원평,창비,2017,9788936434267,03810,,813.7,문학 > 한국문학 > 소설,31426,http://image.aladin.co.kr/product/16839/4/cover/k492534773_1.jpg,https://data4library.kr/bookV?seq=3423096
