no,ranking,book_name,author_name,publisher,pub_year,isbn13,addition_symbol,vol,class_no,class_nm,loan_count,cover_url,detail_url
148,148,낭만 강아지 봉봉,홍민정 글 ;김무연 그림,다산북스,2022,9791130679990,74810,1,813.7,문학 > 한국문학 > 소설,27455,https://image.aladin.co.kr/product/28963/14/cover/k832836617_1.jpg,https://data4library.kr/bookV?seq=6412733
149,149,"어서오세요, 휴남동 서점입니다 :황보름 장편소설 ",지은이: 황보름,클레이하우스,2022,9791197377143,03810,,813.7,문학 > 한국문학 > 소설,27337,https://image.aladin.co.kr/product/28685/95/cover/k362836265_1.jpg,https://data4library.kr/bookV?seq=6389692
150,150,절창 :구병모 장편소설 ,지은이: 구병모,문학동네,2025,9791141602451,03810,,813.7,문학 > 한국문학 > 소설,27272,https://image.aladin.co.kr/product/37172/36/cover200/k662031678_1.jpg,https://data4library.kr/bookV?seq=7149374
151,151,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,9791168412279,77490,7,472,자연과학 > 생물과학 > 생물학,27253,https://image.aladin.co.kr/product/29691/86/cover/k742838586_1.jpg,https://data4library.kr/bookV?seq=6491579
152,152,(흔한남매) 안 흔한 일기,흔한남매 원작 ;조병주 그림,미래엔,2020,9791164135158,74810,2,816.7,"문학 > 한국문학 > 일기, 서간, 기행",27173,https://image.aladin.co.kr/product/24050/77/cover/k252639625_1.jpg,https://data4library.kr/bookV?seq=5669599
153,153,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,9791164139750,77490,5,472,자연과학 > 생물과학 > 생물학,27154,https://image.aladin.co.kr/product/28259/9/cover/k882835381_1.jpg,https://data4library.kr/bookV?seq=6331219
154,154,(흔한남매) 별난 세계 여행,흔한남매 원작 ;정주연 그림,미래엔,2023,9791168418424,74810,3,980.2,역사 > 지리 > 지리,26995,https://image.aladin.co.kr/product/34172/56/cover200/k432931118_1.jpg,https://data4library.kr/bookV?seq=6893831
155,155,다판다 편의점,강효미 글 ;밤코 그림,다산북스,2025,9791130662985,74810,1,813.7,문학 > 한국문학 > 소설,26964,https://image.aladin.co.kr/product/35737/1/cover200/k352036535_1.jpg,https://data4library.kr/bookV?seq=7011384
156,156,아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가 ,제임스 클리어 지음 ;이한이 옮김,비즈니스북스,2019,9791162540640,03190,,181.845,철학 > 심리학 > 각론,26783,https://image.aladin.co.kr/product/18228/51/cover/k832534441_1.jpg,https://data4library.kr/bookV?seq=5368180
157,157,나는 소망한다 내게 금지된 것을 :양귀자 장편소설 ,지은이: 양귀자,쓰다,2019,9788998441074,03810,,813.62,문학 > 한국문학 > 소설,26755,https://image.aladin.co.kr/product/18936/52/cover/8998441071_1.jpg,https://data4library.kr/bookV?seq=5395822
158,158,"바람이 분다, 가라 :한강 장편소설 ",한강,문학과지성사,2010,9788932020006,03810,,813.62,문학 > 한국문학 > 소설,26714,https://bookthumb-phinf.pstatic.net/cover/062/425/06242590.jpg?type=m1&udate=20161201,https://data4library.kr/bookV?seq=1041841
159,159,세상의 마지막 기차역 ,무라세 다케시 지음 ;김지연 옮김,바이포엠 스튜디오,2022,9791191043754,03830,,833.6,문학 > 일본문학 > 소설,26617,https://image.aladin.co.kr/product/29442/51/cover/k762837520_1.jpg,https://data4library.kr/bookV?seq=6460241
160,160,나미야 잡화점의 기적 :히가시노 게이고 장편소설 ,지은이: 히가시노 게이고 ;옮긴이: 양윤옥,현대문학,2012,9788972756194,03830,,833.6,문학 > 일본문학 > 소설,26568,http://image.aladin.co.kr/product/15848/6/cover/k622533431_1.jpg,https://data4library.kr/bookV?seq=1902173
161,161,놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스,2016,9791168126336,77400,18,408,"자연과학 > 자연과학 > 전집, 총서",26541,https://image.aladin.co.kr/product/31953/75/cover/k552833157_1.jpg,https://data4library.kr/bookV?seq=6718347
162,162,우리가 빛의 속도로 갈 수 없다면 :김초엽 소설 ,지은이: 김초엽,허블,2019,9791190090018,03810,,813.7,문학 > 한국문학 > 소설,26483,https://image.aladin.co.kr/product/19359/16/cover/s972635417_1.jpg,https://data4library.kr/bookV?seq=5430429
163,163,(흔한남매) 안 흔한 일기,흔한남매 원작 ;조병주 그림,미래엔,2020,9791164136223,74810,3,816.7,"문학 > 한국문학 > 일기, 서간, 기행",26478,https://image.aladin.co.kr/product/25151/11/cover/k762633375_1.jpg,https://data4library.kr/bookV?seq=5769272
164,164,"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법 ",요한 하리 지음 ;김하현 옮김,어크로스(어크로스출판그룹),2023,9791167740984,03180,,181.27,철학 > 심리학 > 각론,26453,https://image.aladin.co.kr/product/31559/97/cover/k682832859_1.jpg,https://data4library.kr/bookV?seq=6682845
165,165,슈뻘맨의 숨은 과학 찾기 :엉뚱 도전 속에 숨은 과학 상식,슈뻘맨 원작 ;류수형 그림,미래엔,2023,9791173111686,77400,5,400,자연과학 > 자연과학 > 자연과학,26375,https://image.aladin.co.kr/product/35090/86/cover200/k962934495_1.jpg,https://data4library.kr/bookV?seq=6968667
166,166,놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스,2016,9791168120266,67400,16,408,"자연과학 > 자연과학 > 전집, 총서",26364,https://image.aladin.co.kr/product/28334/81/cover/k832835905_1.jpg,https://data4library.kr/bookV?seq=6339071
167,167,놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스,2016,9791190630184,67400,13,408,"자연과학 > 자연과학 > 전집, 총서",26362,https://image.aladin.co.kr/product/23416/73/cover/k962638285_1.jpg,https://data4library.kr/bookV?seq=5601705
168,168,놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스,2016,9791190908184,67400,14,408,"자연과학 > 자연과학 > 전집, 총서",26344,https://image.aladin.co.kr/product/24628/1/cover/s982631798_1.jpg,https://data4library.kr/bookV?seq=5709267
169,169,놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스,2016,9791190305310,67400,12,408,"자연과학 > 자연과학 > 전집, 총서",26278,https://image.aladin.co.kr/product/21502/77/cover/k742636192_1.jpg,https://data4library.kr/bookV?seq=5516991
170,170,흔한남매 불꽃 튀는 우리말 1 - 초등 국어 고수 되기 프로젝트,흔한남매 (원작)|한은호,다산어린이,2021,9791130635712,,1,,,26142,https://bookthumb-phinf.pstatic.net/cover/180/044/18004469.jpg?type=m1&udate=20210218,https://data4library.kr/bookV?seq=5918291
171,171,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,2021,9791173321610,77400,14,400,자연과학 > 자연과학 > 자연과학,26117,https://image.aladin.co.kr/product/36215/39/cover200/k562038627_2.jpg,https://data4library.kr/bookV?seq=7051427
172,172,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",Dankkum i(단꿈아이),2022,9791193031681,74910,30,911,역사 > 아시아(아세아) > 한국,26064,https://shopping-phinf.pstatic.net/main_4987792/49877922652.20240820202651.jpg,https://data4library.kr/bookV?seq=6937911
173,173,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9791196025809,74910,2,911,역사 > 아시아(아세아) > 한국,26035,http://image.aladin.co.kr/product/10227/84/cover/k782536886_2.jpg,https://data4library.kr/bookV?seq=3412785
174,174,"오늘 밤, 세계에서 이 사랑이 사라진다 해도 ",이치조 미사키 지음 ;권영주 옮김,바이포엠,2021,9791191043297,03830,,833.6,문학 > 일본문학 > 소설,26013,https://image.aladin.co.kr/product/27407/79/cover/k362732558_1.jpg,https://data4library.kr/bookV?seq=6036502
175,175,흔한남매 불꽃 튀는 우리말 :초등 국어 고수 되기 프로젝트,원작: 흔한남매 ;그림: 유희석,다산북스,2021,9791130640280,77700,3,710,언어 > 한국어 > 한국어,25993,https://image.aladin.co.kr/product/27833/74/cover/k162734674_1.jpg,https://data4library.kr/bookV?seq=6084991
176,176,나는 메트로폴리탄 미술관의 경비원입니다 :가장 경이로운 세계 속으로 숨어버린 한 남자의 이야기 ,패트릭 브링리 지음 ;조현주 옮김,웅진씽크빅,2023,9788901276533,03840,,848,문학 > 영미문학 > 르포르타주 및 기타,25896,https://image.aladin.co.kr/product/32892/38/cover/8901276534_2.jpg,https://data4library.kr/bookV?seq=6793850
177,177,완전한 행복 :정유정 장편소설 ,지은이: 정유정,은행나무,2021,9791167370280,03810,,813.7,문학 > 한국문학 > 소설,25879,https://image.aladin.co.kr/product/27225/29/cover/k432732398_2.jpg,https://data4library.kr/bookV?seq=5987427
178,178,(흔한 남매) 세계사 탐험대,"원작: 흔한남매,그림: 팀키즈",김영사,2024,9788934941330,77900,1,909,"역사 > 역사 > 세계사, 세계문화사",25865,https://shopping-phinf.pstatic.net/main_4991206/49912061623.20240830071621.jpg,https://data4library.kr/bookV?seq=6938502
179,179,흔한남매 불꽃 튀는 우리말 :초등 국어 고수 되기 프로젝트,원작: 흔한남매 ;그림: 유희석,다산북스,2021,9791130637594,77700,2,710,언어 > 한국어 > 한국어,25832,https://image.aladin.co.kr/product/27144/52/cover/k372731447_1.jpg,https://data4library.kr/bookV?seq=5982308
180,180,언젠가 우리가 같은 별을 바라본다면 :차인표 장편소설 ,글: 차인표,해결책,2021,9791191061048,43810,,813.7,문학 > 한국문학 > 소설,25715,https://image.aladin.co.kr/product/28513/21/cover/k882835835_1.jpg,https://data4library.kr/bookV?seq=6371836
181,181,호랑이 빵집,글: 서지원 ;그림: 홍그림,지학사,2023,9791162041376,74810,1,813.7,문학 > 한국문학 > 소설,25714,https://image.aladin.co.kr/product/30782/50/cover/k052832579_1.jpg,https://data4library.kr/bookV?seq=6653477
182,182,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",Dankkum i(단꿈아이),2022,9791193031636,74910,29,911,역사 > 아시아(아세아) > 한국,25697,https://image.aladin.co.kr/product/34009/14/cover200/k542931865_1.jpg,https://data4library.kr/bookV?seq=6880705
183,183,가공범 ,지은이: 히가시노 게이고 ;옮긴이: 김선영,교보문고,2025,9791170612759,03830,,833.6,문학 > 일본문학 > 소설,25669,https://image.aladin.co.kr/product/36786/80/cover200/k472030698_2.jpg,https://data4library.kr/bookV?seq=7094855
184,184,시한부 :백은별 장편소설 ,지은이: 백은별,바른북스,2024,9791193647646,03810,,813.7,문학 > 한국문학 > 소설,25646,https://image.aladin.co.kr/product/33249/36/cover/k132938568_1.jpg,https://data4library.kr/bookV?seq=6821746
185,185,놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스,2016,9791191766318,67400,15,408,"자연과학 > 자연과학 > 전집, 총서",25601,https://image.aladin.co.kr/product/27685/48/cover/k642733336_1.jpg,https://data4library.kr/bookV?seq=6065677
186,186,너구리 라면 가게 ,글: 최설희 ;그림: 김덕영,다산북스,2025,9791130664606,77810,,813.7,문학 > 한국문학 > 소설,25542,https://image.aladin.co.kr/product/35978/9/cover200/k092037903_1.jpg,https://data4library.kr/bookV?seq=7022584
187,187,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,9791164060481,74830,1,833.6,문학 > 일본문학 > 소설,25364,https://image.aladin.co.kr/product/19610/47/cover/k282635522_1.jpg,https://data4library.kr/bookV?seq=5439175
188,188,흔한남매 불꽃 튀는 우리말 :초등 국어 고수 되기 프로젝트,원작: 흔한남매 ;그림: 유희석,다산북스,2021,9791130641607,77700,4,710,언어 > 한국어 > 한국어,25339,https://image.aladin.co.kr/product/28344/0/cover/k342835103_1.jpg,https://data4library.kr/bookV?seq=6339841
189,189,놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스,2016,9791190182737,67400,11,408,"자연과학 > 자연과학 > 전집, 총서",25248,https://image.aladin.co.kr/product/19973/36/cover/k292635940_1.jpg,https://data4library.kr/bookV?seq=5453374
190,190,당신이 누군가를 죽였다 ,지은이: 히가시노 게이고 ;옮긴이: 최고은,교보문고,2024,9791170611561,03830,,833.6,문학 > 일본문학 > 소설,25211,https://image.aladin.co.kr/product/34292/25/cover200/k692932177_1.jpg,https://data4library.kr/bookV?seq=6905647
191,191,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",Dankkum i(단꿈아이),2022,9791193031742,74910,31,911,역사 > 아시아(아세아) > 한국,25201,https://image.aladin.co.kr/product/35261/46/cover200/k252934544_1.jpg,https://data4library.kr/bookV?seq=6977744
192,192,"넥서스 :석기시대부터 AI까지, 정보 네트워크로 보는 인류 역사 ",지은이: 유발 하라리 ;옮긴이: 김명주,김영사,2024,9791194330424,03900,,331.5412,"사회과학 > 사회학, 사회문제 > 사회학",25154,https://image.aladin.co.kr/product/34917/23/cover200/k022933254_1.jpg,https://data4library.kr/bookV?seq=6957908
193,193,백앤아 :교양이 층층 쌓이는 점프 맵,원작: 백앤아 ;그림: 돌만,샌드박스네트워크,2023,9791192504230,77810,2,031,총류 > 백과사전 > 한국어,25126,https://image.aladin.co.kr/product/31681/54/cover/k442833889_1.jpg,https://data4library.kr/bookV?seq=6693801
194,194,"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문 ",지은이: 유발 하라리 ;옮긴이: 조현욱,김영사,2015,9788934972464,03900,,909,"역사 > 역사 > 세계사, 세계문화사",24892,https://bookthumb-phinf.pstatic.net/cover/097/807/09780781.jpg?type=m1&udate=20180721,https://data4library.kr/bookV?seq=3027835
195,195,불변의 법칙 :절대 변하지 않는 것들에 대한 23가지 이야기 ,지은이: 모건 하우절 ;옮긴이: 이수경,서삼독,2024,9791198517425,03320,,327.04,사회과학 > 경제학 > 금융,24881,https://image.aladin.co.kr/product/33406/14/cover/k272938139_1.jpg,https://data4library.kr/bookV?seq=6831811
196,196,빨간내복야코 안 읽으면 완전 위험한 과학책,빨간내복야코 원작 ;이영아 그림,위즈덤하우스,2024,9791171712793,77400,1,400,자연과학 > 자연과학 > 자연과학,24878,https://image.aladin.co.kr/product/34968/12/cover200/k342934566_1.jpg,https://data4library.kr/bookV?seq=6959950
197,197,빨간내복야코 맞춤법 절대 안 틀리는 책,빨간내복야코 원작 ;이영아 그림,위즈덤하우스,2024,9791171711451,73710,1,711,"언어 > 한국어 > 음운, 음성, 문자",24835,https://image.aladin.co.kr/product/33449/87/cover/k382938741_2.jpg,https://data4library.kr/bookV?seq=6833864
198,198,(흔한남매) 흔한 게임,원작: 흔한남매 ;그림: 도니패밀리,미래엔,2024,9791168418905,77810,1,810,문학 > 한국문학 > 한국문학,24834,https://image.aladin.co.kr/product/34539/7/cover200/k562932458_1.jpg,https://data4library.kr/bookV?seq=6936449
199,199,세이노의 가르침 :피보다 진하게 살아라 ,세이노 지음,데이원,2023,9791168473690,03190,,325.211,사회과학 > 경제학 > 경영관리,24657,https://image.aladin.co.kr/product/30929/51/cover/k732831392_1.jpg,https://data4library.kr/bookV?seq=6628064
200,200,메리골드 마음 세탁소 =윤정은 장편소설 /Marigold mind laundry ,글: 윤정은,북로망스,2023,9791191891287,03810,,813.7,문학 > 한국문학 > 소설,24634,https://image.aladin.co.kr/product/31222/5/cover/k562831250_2.jpg,https://data4library.kr/bookV?seq=6648006
