기준월,시도,승합차,승용차,특수차
202603,인천,71966,3021590,19192
202603,전남,67554,2046938,19630
202603,전북,53600,1563776,12856
202603,제주,32522,1234094,4468
202603,충남,68836,2031398,17092
202603,충북,49588,1525788,13720
202604,강원,45840,1377472,11624
202604,경기,324996,11411054,65326
202604,경남,85952,3351736,23200
202604,경북,80926,2384090,22856
202604,광주,31016,1239120,8464
202604,대구,49530,2156276,11242
202604,대전,30762,1289976,8030
202604,부산,66638,2714774,25318
202604,서울,158134,5540932,23514
202604,세종,7436,367708,2136
202604,울산,24110,1047046,7958
202604,인천,71618,3027248,19230
202604,전남,67452,2056538,19670
202604,전북,53246,1564810,12876
202604,제주,32410,1239238,4448
202604,충남,68416,2033844,17186
202604,충북,49424,1528826,13700
202605,강원,45712,1378428,11618
202605,경기,323490,11419656,65408
202605,경남,85576,3354702,23320
202605,경북,80674,2385672,22812
202605,광주,30926,1238470,8574
202605,대구,49262,2159046,11278
202605,대전,30670,1290968,8028
202605,부산,66404,2715592,25352
202605,서울,157290,5539776,23522
202605,세종,7388,367952,2130
202605,울산,24078,1046192,7974
202605,인천,71312,3031298,19170
202605,전남,67270,2059708,19688
202605,전북,52988,1564358,12882
202605,제주,32306,1239818,4474
202605,충남,68142,2036246,17196
202605,충북,49252,1531226,13786
202606,강원,45574,1380120,11676
202606,경기,322274,11447800,65504
202606,경남,85194,3362682,23392
202606,경북,80448,2388710,22912
202606,광주,30734,1238660,8576
202606,대구,49116,2161150,11306
202606,대전,30546,1291904,8040
202606,부산,66184,2719634,25348
202606,서울,156428,5540496,23516
202606,세종,7300,368442,2116
202606,울산,23960,1047096,8008
202606,인천,71260,3034966,19234
202606,전남,67074,2065924,19730
202606,전북,52778,1566732,12948
202606,제주,32320,1242064,4488
202606,충남,67972,2040626,17264
202606,충북,48948,1534638,13788
202607,강원,45466,1381370,11706
202607,경기,321302,11465358,65642
202607,경남,84870,3366506,23402
202607,경북,80346,2390910,22910
202607,대구,48934,2163008,11350
202607,대전,30398,1293662,8060
202607,부산,66070,2723048,25320
202607,서울,155814,5536974,23524
202607,세종,7348,368764,2116
202607,울산,23848,1047622,8060
202607,인천,71164,3027542,19336
202607,전남광주,97558,3317304,28310
202607,전북,52584,1567852,12984
202607,제주,32288,1241580,4492
202607,충남,67876,2043570,17308
202607,충북,48814,1535886,13874
202608,강원,45252,1381176,11728
202608,경기,319440,11464810,65746
202608,경남,84566,3367382,23492
202608,경북,80096,2392186,22880
202608,대구,48776,2159942,11390
202608,대전,30284,1293746,8078
202608,부산,65878,2720902,25352
202608,서울,155136,5534988,23500
202608,세종,7302,368206,2134
202608,울산,23828,1046698,8096
202608,인천,71062,3032632,19300
202608,전남광주,97148,3317316,28342
202608,전북,52352,1567708,13036
202608,제주,32288,1242160,4498
202608,충남,67736,2044344,17324
202608,충북,48620,1535976,13928
