순번,순위,도서명,저자,출판사,발행년도,ISBN13,대출건수,주제분류명
91,91,급류 :정대건 장편소설 ,지은이: 정대건,민음사,2022,9788937473401,9605,문학 > 한국문학 > 소설
92,92,죽이고 싶은 아이 :이꽃님 장편소설 ,지은이: 이꽃님,우리학교,2021,9791190337755,9600,문학 > 한국문학 > 소설
93,93,"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법 ",요한 하리 지음 ;김하현 옮김,어크로스(어크로스출판그룹),2023,9791167740984,9547,철학 > 심리학 > 각론
94,94,흔한남매 이상한 나라의 고전 읽기,최재훈 글 ;정주연 그림,미래엔,2022,9791168418950,9499,문학 > 한국문학 > 소설
95,95,언젠가 우리가 같은 별을 바라본다면 :차인표 장편소설 ,글: 차인표,해결책,2021,9791191061048,9487,문학 > 한국문학 > 소설
96,96,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,9791168416840,9469,자연과학 > 생물과학 > 생물학
97,97,아몬드 :손원평 장편소설 ,지은이: 손원평,창비,2017,9788936434267,9434,문학 > 한국문학 > 소설
98,98,흔한남매 오해요 :귀염 뽀짝 부캐들과 펼치는 초단편 콩트 만화 ,원작: 흔한남매 ;그림: 유난희,미래엔,2022,9791168410930,9393,문학 > 한국문학 > 한국문학
99,99,(흔한남매) 수수께끼 어드벤처 :수수께끼로 배우는 교과 지식,원작: 흔한남매 ;그림: 도니패밀리,미래엔,2022,9791168413078,9350,"사회과학 > 풍속, 민속학 > 민간전승"
100,99,"넥서스 :석기시대부터 AI까지, 정보 네트워크로 보는 인류 역사 ",지은이: 유발 하라리 ;옮긴이: 김명주,김영사,2024,9791194330424,9350,"사회과학 > 사회학, 사회문제 > 사회학"
101,101,(흔한남매) 수수께끼 어드벤처 :수수께끼로 배우는 교과 지식,원작: 흔한남매 ;그림: 도니패밀리,미래엔,2022,9791168415591,9258,"사회과학 > 풍속, 민속학 > 민간전승"
102,102,맡겨진 소녀 :클레어 키건 소설 ,지은이: 클레어 키건 ;옮긴이: 허진,다산북스,2023,9791130698199,9236,문학 > 영미문학 > 소설
103,103,(흔한남매) 수수께끼 어드벤처 :수수께끼로 배우는 교과 지식,원작: 흔한남매 ;그림: 도니패밀리,미래엔,2022,9791168417656,9234,"사회과학 > 풍속, 민속학 > 민간전승"
104,104,똥볶이 할멈 :K-히어로 판타지,글: 강효미 ;그림: 김무연,따끈따끈책방,2021,9791190409131,9226,문학 > 한국문학 > 소설
105,105,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9791195794799,9205,역사 > 아시아(아세아) > 한국
106,106,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,2021,9788934938224,9181,자연과학 > 자연과학 > 자연과학
107,107,똥볶이 할멈 :K-히어로 판타지,글: 강효미 ;그림: 김무연,따끈따끈책방,2021,9791190409148,9141,문학 > 한국문학 > 소설
108,108,야옹이 수영 교실 ,신현경 글 ;노예지 그림,인플루엔셜,2023,9791168341180,9135,문학 > 한국문학 > 소설
109,109,똥볶이 할멈 :K-히어로 판타지,글: 강효미 ;그림: 김무연,따끈따끈책방,2021,9791190409384,9108,문학 > 한국문학 > 소설
110,110,천 개의 파랑 :천선란 장편소설 ,지은이: 천선란,허블,2020,9791190090261,9101,문학 > 한국문학 > 소설
111,111,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,9791168411029,9067,자연과학 > 생물과학 > 생물학
112,112,(흔한남매) 수수께끼 어드벤처 :수수께끼로 배우는 교과 지식,원작: 흔한남매 ;그림: 도니패밀리,미래엔,2022,9791168414921,9039,"사회과학 > 풍속, 민속학 > 민간전승"
