순번,순위,도서명,저자,출판사,발행년도,ISBN13,대출건수,주제분류명
154,154,낭만 강아지 봉봉,홍민정 글 ;김무연 그림,다산북스,2022,9791130653433,8420,문학 > 한국문학 > 소설
155,155,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,9791164139750,8389,자연과학 > 생물과학 > 생물학
156,156,(흔한남매) 별난 방탈출 :탈출 미션 스토리북,흔한남매 원작 ;차차 그림,미래엔,2020,9791168411692,8379,"예술 > 오락, 운동 > 오락"
157,157,"어서오세요, 휴남동 서점입니다 :황보름 장편소설 ",지은이: 황보름,클레이하우스,2022,9791197377143,8369,문학 > 한국문학 > 소설
158,158,슈뻘맨의 숨은 과학 찾기 :엉뚱 도전 속에 숨은 과학 상식,슈뻘맨 원작 ;류수형 그림,미래엔,2023,9791168417786,8363,자연과학 > 자연과학 > 자연과학
159,159,당근 할머니 :안녕달 그림책 ,지은이: 안녕달,창비,2024,9788936429232,8342,문학 > 한국문학 > 소설
160,160,불변의 법칙 :절대 변하지 않는 것들에 대한 23가지 이야기 ,지은이: 모건 하우절 ;옮긴이: 이수경,서삼독,2024,9791198517425,8315,사회과학 > 경제학 > 금융
161,161,세계를 건너 너에게 갈게 :이꽃님 장편소설 ,글쓴이: 이꽃님,문학동네,2018,9788954650212,8309,문학 > 한국문학 > 소설
162,162,놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스,2016,9791168126336,8289,"자연과학 > 자연과학 > 전집, 총서"
163,163,너에게 들려주는 단단한 말 ,김종원 지음,퍼스트펭귄,2024,9791198682550,8268,"철학 > 윤리학, 도덕철학 > 도덕훈, 교훈"
164,164,서랍에 저녁을 넣어 두었다 :한강 시집 ,지은이: 한강,문학과지성사,2013,9788932024639,8267,문학 > 한국문학 > 시
165,165,바깥은 여름 :김애란 소설 ,지은이: 김애란,문학동네,2017,9788954646079,8251,문학 > 한국문학 > 소설
166,166,(흔한남매) 별난 세계 여행,흔한남매 원작 ;정주연 그림,미래엔,2023,9791168418424,8249,역사 > 지리 > 지리
167,167,아주 희미한 빛으로도 :최은영 소설 ,지은이: 최은영,문학동네,2023,9788954695053,8240,문학 > 한국문학 > 소설
168,168,(흔한남매) 안 흔한 일기,흔한남매 원작 ;조병주 그림,미래엔,2020,9791164136223,8239,"문학 > 한국문학 > 일기, 서간, 기행"
169,169,한강 ,지은이: 한강,문학동네,2023,9788954693462,8234,문학 > 한국문학 > 한국문학
170,170,놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스,2016,9791190305310,8191,"자연과학 > 자연과학 > 전집, 총서"
171,171,슈뻘맨의 숨은 과학 찾기 :엉뚱 도전 속에 숨은 과학 상식,슈뻘맨 원작 ;류수형 그림,미래엔,2023,9791168415188,8157,자연과학 > 자연과학 > 자연과학
172,172,놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스,2016,9791190630184,8156,"자연과학 > 자연과학 > 전집, 총서"
173,173,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",Dankkum i(단꿈아이),2022,9791193031452,8127,역사 > 아시아(아세아) > 한국
174,174,놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스,2016,9791168120266,8108,"자연과학 > 자연과학 > 전집, 총서"
175,175,흔한남매 불꽃 튀는 우리말 5 - 초등 국어 고수 되기 프로젝트,"한은호 (지은이), 흔한남매 (원작), 유희석 (그림), 흔한컴퍼니 (감수)",다산어린이,2022,9791130679266,8090,
176,175,놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스,2016,9791190908184,8090,"자연과학 > 자연과학 > 전집, 총서"
177,177,슈뻘맨의 숨은 과학 찾기 :엉뚱 도전 속에 숨은 과학 상식,슈뻘맨 원작 ;류수형 그림,미래엔,2023,9791168415171,8082,자연과학 > 자연과학 > 자연과학
178,178,세상의 마지막 기차역 ,무라세 다케시 지음 ;김지연 옮김,바이포엠 스튜디오,2022,9791191043754,8011,문학 > 일본문학 > 소설
179,179,"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문 ",지은이: 유발 하라리 ;옮긴이: 조현욱,김영사,2015,9788934972464,7992,"역사 > 역사 > 세계사, 세계문화사"
