"car_id";"sido_cd";"sido_nm";"브랜드";"차량명";"차종";"연료형태";"출고가";"km당 연료비";"연비점수";"인프라 점수";"실구매가 점수";"인프라 상황";"지원받은 보조금"
24;"01";"서울";"현대";"포터2";"소형트럭";"LPG";2058;145.43;57.96;100.0;91.4;"해당사항 없음";"해당사항 없음"
24;"03";"강원";"현대";"포터2";"소형트럭";"LPG";2058;142.05;59.72;100.0;91.4;"해당사항 없음";"해당사항 없음"
25;"03";"강원";"현대";"포터2";"소형트럭";"디젤";2058;233.99;10.16;100.0;91.4;"해당사항 없음";"해당사항 없음"
24;"14";"대구";"현대";"포터2";"소형트럭";"LPG";2058;140.51;60.25;100.0;91.4;"해당사항 없음";"해당사항 없음"
25;"14";"대구";"현대";"포터2";"소형트럭";"디젤";2058;228.35;11.98;100.0;91.4;"해당사항 없음";"해당사항 없음"
25;"10";"부산";"현대";"포터2";"소형트럭";"디젤";2058;229.49;11.68;100.0;91.4;"해당사항 없음";"해당사항 없음"
24;"10";"부산";"현대";"포터2";"소형트럭";"LPG";2058;136.7;62.29;100.0;91.4;"해당사항 없음";"해당사항 없음"
24;"17";"대전";"현대";"포터2";"소형트럭";"LPG";2058;134.5;64.06;100.0;91.4;"해당사항 없음";"해당사항 없음"
31;"03";"강원";"기아";"PV5";"중형MPV";"전기(배터리)";4100;78.65;85.35;72.48;90.75;"충전기당 전기차 수 : 1.22";"2040"
66;"20";"전남광주";"기아";"EV6";"중형SUV";"전기(배터리)";4360;75.27;87.63;21.79;90.75;"충전기당 전기차 수 : 1.65";"2300"
114;"17";"대전";"볼보";"EX30";"소형SUV";"전기(배터리)";3991;72.92;89.8;55.58;90.71;"충전기당 전기차 수 : 1.45";"1900"
22;"17";"대전";"기아";"EV3";"소형SUV";"전기(배터리)";3995;72.16;90.47;55.58;90.69;"충전기당 전기차 수 : 1.45";"1900"
59;"18";"울산";"기아";"레이 EV";"경차";"전기(배터리)";2807;68.63;92.41;89.37;90.67;"충전기당 전기차 수 : 0.96";"700"
59;"02";"경기";"기아";"레이 EV";"경차";"전기(배터리)";2807;68.63;92.41;83.74;90.67;"충전기당 전기차 수 : 1.01";"700"
59;"06";"전북";"기아";"레이 EV";"경차";"전기(배터리)";2807;68.63;92.41;49.95;90.67;"충전기당 전기차 수 : 1.46";"700"
119;"03";"강원";"현대";"코나 일렉트릭";"소형SUV";"전기(배터리)";4152;68.63;92.41;72.48;90.61;"충전기당 전기차 수 : 1.22";"2040"
16;"03";"강원";"기아";"EV5";"중형SUV";"전기(배터리)";4155;75.27;87.63;72.48;90.59;"충전기당 전기차 수 : 1.22";"2040"
62;"17";"대전";"기아";"EV4";"준중형";"전기(배터리)";4042;67.96;93.06;55.58;90.57;"충전기당 전기차 수 : 1.45";"1900"
134;"20";"전남광주";"폭스바겐";"ID.5";"중형SUV";"전기(배터리)";4452;68.63;92.41;21.79;90.55;"충전기당 전기차 수 : 1.65";"2300"
140;"20";"전남광주";"폭스바겐";"ID.4";"중형SUV";"전기(배터리)";4452;72.92;89.8;21.79;90.55;"충전기당 전기차 수 : 1.65";"2300"
66;"05";"충남";"기아";"EV6";"중형SUV";"전기(배터리)";4360;75.27;87.63;44.32;90.51;"충전기당 전기차 수 : 1.48";"2200"
66;"04";"충북";"기아";"EV6";"중형SUV";"전기(배터리)";4360;75.27;87.63;38.69;90.51;"충전기당 전기차 수 : 1.52";"2200"
141;"20";"전남광주";"KGM";"토레스 EVX";"중형SUV";"전기(배터리)";4470;72.92;89.8;21.79;90.47;"충전기당 전기차 수 : 1.65";"2300"
114;"06";"전북";"볼보";"EX30";"소형SUV";"전기(배터리)";3991;72.92;89.8;49.95;90.45;"충전기당 전기차 수 : 1.46";"1800"
22;"06";"전북";"기아";"EV3";"소형SUV";"전기(배터리)";3995;72.16;90.47;49.95;90.43;"충전기당 전기차 수 : 1.46";"1800"
79;"15";"인천";"쉐보레";"트랙스 크로스오버";"소형SUV";"가솔린";2199;149.45;53.29;100.0;90.41;"해당사항 없음";"해당사항 없음"
79;"11";"제주";"쉐보레";"트랙스 크로스오버";"소형SUV";"가솔린";2199;152.92;48.63;100.0;90.41;"해당사항 없음";"해당사항 없음"
79;"06";"전북";"쉐보레";"트랙스 크로스오버";"소형SUV";"가솔린";2199;150.58;51.55;100.0;90.41;"해당사항 없음";"해당사항 없음"
79;"05";"충남";"쉐보레";"트랙스 크로스오버";"소형SUV";"가솔린";2199;150.97;50.76;100.0;90.41;"해당사항 없음";"해당사항 없음"
79;"04";"충북";"쉐보레";"트랙스 크로스오버";"소형SUV";"가솔린";2199;151.06;50.7;100.0;90.41;"해당사항 없음";"해당사항 없음"
79;"08";"경북";"쉐보레";"트랙스 크로스오버";"소형SUV";"가솔린";2199;150.02;52.46;100.0;90.41;"해당사항 없음";"해당사항 없음"
79;"09";"경남";"쉐보레";"트랙스 크로스오버";"소형SUV";"가솔린";2199;150.04;52.38;100.0;90.41;"해당사항 없음";"해당사항 없음"
79;"20";"전남광주";"쉐보레";"트랙스 크로스오버";"소형SUV";"가솔린";2199;150.79;51.14;100.0;90.41;"해당사항 없음";"해당사항 없음"
79;"19";"세종";"쉐보레";"트랙스 크로스오버";"소형SUV";"가솔린";2199;150.24;51.93;100.0;90.41;"해당사항 없음";"해당사항 없음"
79;"18";"울산";"쉐보레";"트랙스 크로스오버";"소형SUV";"가솔린";2199;148.79;54.69;100.0;90.41;"해당사항 없음";"해당사항 없음"
79;"02";"경기";"쉐보레";"트랙스 크로스오버";"소형SUV";"가솔린";2199;150.2;52.01;100.0;90.41;"해당사항 없음";"해당사항 없음"
79;"01";"서울";"쉐보레";"트랙스 크로스오버";"소형SUV";"가솔린";2199;154.2;47.91;100.0;90.41;"해당사항 없음";"해당사항 없음"
79;"03";"강원";"쉐보레";"트랙스 크로스오버";"소형SUV";"가솔린";2199;151.4;50.17;100.0;90.41;"해당사항 없음";"해당사항 없음"
79;"14";"대구";"쉐보레";"트랙스 크로스오버";"소형SUV";"가솔린";2199;148.22;55.39;100.0;90.41;"해당사항 없음";"해당사항 없음"
79;"10";"부산";"쉐보레";"트랙스 크로스오버";"소형SUV";"가솔린";2199;149.12;54.08;100.0;90.41;"해당사항 없음";"해당사항 없음"
79;"17";"대전";"쉐보레";"트랙스 크로스오버";"소형SUV";"가솔린";2199;148.71;54.85;100.0;90.41;"해당사항 없음";"해당사항 없음"
31;"17";"대전";"기아";"PV5";"중형MPV";"전기(배터리)";4100;78.65;85.35;55.58;90.08;"충전기당 전기차 수 : 1.45";"1900"
62;"06";"전북";"기아";"EV4";"준중형";"전기(배터리)";4042;67.96;93.06;49.95;90.06;"충전기당 전기차 수 : 1.46";"1800"
60;"11";"제주";"현대";"디 올 뉴 아반떼";"준중형";"가솔린";2249;108.23;74.34;100.0;90.04;"해당사항 없음";"해당사항 없음"
61;"11";"제주";"현대";"디 올 뉴 아반떼";"준중형";"하이브리드";2249;108.23;74.34;100.0;90.04;"해당사항 없음";"해당사항 없음"
60;"19";"세종";"현대";"디 올 뉴 아반떼";"준중형";"가솔린";2249;106.33;74.92;100.0;90.04;"해당사항 없음";"해당사항 없음"
61;"19";"세종";"현대";"디 올 뉴 아반떼";"준중형";"하이브리드";2249;106.33;74.92;100.0;90.04;"해당사항 없음";"해당사항 없음"
60;"18";"울산";"현대";"디 올 뉴 아반떼";"준중형";"가솔린";2249;105.3;75.17;100.0;90.04;"해당사항 없음";"해당사항 없음"
61;"18";"울산";"현대";"디 올 뉴 아반떼";"준중형";"하이브리드";2249;105.3;75.17;100.0;90.04;"해당사항 없음";"해당사항 없음"
60;"02";"경기";"현대";"디 올 뉴 아반떼";"준중형";"가솔린";2249;106.3;74.96;100.0;90.04;"해당사항 없음";"해당사항 없음"
61;"02";"경기";"현대";"디 올 뉴 아반떼";"준중형";"하이브리드";2249;106.3;74.96;100.0;90.04;"해당사항 없음";"해당사항 없음"
60;"01";"서울";"현대";"디 올 뉴 아반떼";"준중형";"가솔린";2249;109.13;73.93;100.0;90.04;"해당사항 없음";"해당사항 없음"
61;"01";"서울";"현대";"디 올 뉴 아반떼";"준중형";"하이브리드";2249;109.13;73.93;100.0;90.04;"해당사항 없음";"해당사항 없음"
60;"03";"강원";"현대";"디 올 뉴 아반떼";"준중형";"가솔린";2249;107.15;74.66;100.0;90.04;"해당사항 없음";"해당사항 없음"
61;"03";"강원";"현대";"디 올 뉴 아반떼";"준중형";"하이브리드";2249;107.15;74.66;100.0;90.04;"해당사항 없음";"해당사항 없음"
60;"14";"대구";"현대";"디 올 뉴 아반떼";"준중형";"가솔린";2249;104.9;75.25;100.0;90.04;"해당사항 없음";"해당사항 없음"
61;"14";"대구";"현대";"디 올 뉴 아반떼";"준중형";"하이브리드";2249;104.9;75.25;100.0;90.04;"해당사항 없음";"해당사항 없음"
60;"10";"부산";"현대";"디 올 뉴 아반떼";"준중형";"가솔린";2249;105.54;75.13;100.0;90.04;"해당사항 없음";"해당사항 없음"
61;"10";"부산";"현대";"디 올 뉴 아반떼";"준중형";"하이브리드";2249;105.54;75.13;100.0;90.04;"해당사항 없음";"해당사항 없음"
60;"17";"대전";"현대";"디 올 뉴 아반떼";"준중형";"가솔린";2249;105.25;75.21;100.0;90.04;"해당사항 없음";"해당사항 없음"
61;"17";"대전";"현대";"디 올 뉴 아반떼";"준중형";"하이브리드";2249;105.25;75.21;100.0;90.04;"해당사항 없음";"해당사항 없음"
60;"06";"전북";"현대";"디 올 뉴 아반떼";"준중형";"가솔린";2249;106.57;74.88;100.0;90.04;"해당사항 없음";"해당사항 없음"
61;"06";"전북";"현대";"디 올 뉴 아반떼";"준중형";"하이브리드";2249;106.57;74.88;100.0;90.04;"해당사항 없음";"해당사항 없음"
60;"05";"충남";"현대";"디 올 뉴 아반떼";"준중형";"가솔린";2249;106.85;74.78;100.0;90.04;"해당사항 없음";"해당사항 없음"
61;"05";"충남";"현대";"디 올 뉴 아반떼";"준중형";"하이브리드";2249;106.85;74.78;100.0;90.04;"해당사항 없음";"해당사항 없음"
60;"04";"충북";"현대";"디 올 뉴 아반떼";"준중형";"가솔린";2249;106.91;74.74;100.0;90.04;"해당사항 없음";"해당사항 없음"
61;"04";"충북";"현대";"디 올 뉴 아반떼";"준중형";"하이브리드";2249;106.91;74.74;100.0;90.04;"해당사항 없음";"해당사항 없음"
